subject,sender,time,attachments,
b'Reveal the magic on \xf0\x9f\x93\xb1 savings \xf0\x9f\x8c\x9f',Kotak Cards <retailproducts@mail.kotak.in>,"Wed, 25 Oct 2023 22:19:52 +0530",,
"b'Why did Indra choose Sasuke? I mean there were other better candidates like Itachi, Fugaku, Shisui..and God knows who else..most of them are even ...?'",Quora Suggested Spaces <thewilloffire-space@quora.com>,"Wed, 25 Oct 2023 17:28:46 +0000",,
Computer science help is still available for you,"""Chegg"" <chegg@emails.chegg.com>","Wed, 25 Oct 2023 20:07:21 +0000",,
Annual reminder about Google Play terms and policies,Google Play <googleplay-noreply@google.com>,"Wed, 25 Oct 2023 14:20:12 -0700",,
Take Action: Your rus review is still incomplete,AmbitionBox <no-reply@ambitionbox.com>,"Thu, 26 Oct 2023 07:11:13 +0530 (IST)","
",
"Rohan, thanks for being a valued member",Diane @ LinkedIn Premium,"Wed, 25 Oct 2023 12:28:04 -0700",,
"10+ Matching Jobs from Top IT/Tech Companies based on your
 preferences","""hirist.com"" <info@hirist.com>","Thu, 26 Oct 2023 03:02:41 +0000",,
Become a Quantum Expert: Certification in Computing & ML,IIT Delhi <info@em.goconnectmail.com>,"Thu, 26 Oct 2023 05:21:56 +0200 (CEST)",,
Your application to Talent Acquisition Specialist at Infojini Inc,LinkedIn <jobs-noreply@linkedin.com>,"Thu, 26 Oct 2023 03:30:33 +0000 (UTC)",,
Start Your UK Journey: Navigating the Migration Process,Y Axis <info@em.goconnectmail.com>,"Thu, 26 Oct 2023 05:45:07 +0200 (CEST)",,
The Role of HR in Succession Planning,TIGI HR ® via LinkedIn,"Thu, 26 Oct 2023 03:51:15 +0000 (UTC)",,
58 Analyst Roles to Fill ASAP! Apply Today,"""Talent.com"" <no-reply@alerts.talent.com>","Thu, 26 Oct 2023 00:11:33 -0400",,
Treat the foodie in you with amazing offers from Swiggy and Licious,Kotak Bank <retailproducts@kotak.in>,"Thu, 26 Oct 2023 04:06:41 +0000 (UTC)",,
Top questions for KellyOCG interview preparation,AmbitionBox <no-reply@ambitionbox.com>,"Thu, 26 Oct 2023 10:05:54 +0530 (IST)","
",
Online MCA: Where Innovation Meets Education,SRM Online <info@em.goconnectmail.com>,"Thu, 26 Oct 2023 06:37:19 +0200 (CEST)",,
b'\xe2\x80\x9ctalent acquisition specialist\xe2\x80\x9d: BETSOL - Junior Talent Acquisition Specialist and more',LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Thu, 26 Oct 2023 04:40:21 +0000 (UTC)",,
b'\xe2\x80\x9ctalent acquisition specialist\xe2\x80\x9d: BETSOL - Junior Talent Acquisition Specialist and more',LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,"Thu, 26 Oct 2023 04:40:21 +0000 (UTC)",,
Ekta just messaged you,Ekta Srivastava via LinkedIn <messaging-digest-noreply@linkedin.com>,"Thu, 26 Oct 2023 04:44:08 +0000 (UTC)",,
b'Python + SQL Challenge Day ',Skillyst by foundit <info@alerts.foundit.in>,"Thu, 26 Oct 2023 06:00:28 +0000 (UTC)",,
b'\xf0\x9f\x8f\x83\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8fSale',Udemy <hello@students.udemy.com>,"Thu, 26 Oct 2023 06:04:29 +0000 (UTC)",,
b'How did your mother break your heart?',Quora Digest <english-personalized-digest@quora.com>,"Thu, 26 Oct 2023 06:16:47 +0000",,
b'\xe2\x82\xb9 8 LPA - \xe2\x82\xb9 12 LPA | Gap Inc is hiring for Software Engineer',Job Alert | Cuvette <team@cuvette.tech>,"Thu, 26 Oct 2023 06:26:27 +0000",,
Improving Patient Outcomes: Pharma's Support Program Advancements,"""Alp Consulting Ltd. via LinkedIn"" <newsletters-noreply@linkedin.com>","Thu, 26 Oct 2023 06:51:12 +0000 (UTC)",,
"10X Rewards on Movies, Dining & Grocery spends!",SBI Card <info@em.goconnectmail.com>,"Thu, 26 Oct 2023 09:06:30 +0200 (CEST)",,
Sajin just messaged you,Sajin Mathew via LinkedIn <messaging-digest-noreply@linkedin.com>,"Thu, 26 Oct 2023 07:14:36 +0000 (UTC)",,
"Urgent requirement for Recruitment Executive in Hyderabad /
 Secunderabad, Telangana",foundit - Monster Jobs <jobmessenger@monsterindia.com>,"Thu, 26 Oct 2023 12:45:08 +0530 (IST)",,
HR and Consultancy Manager- Interview Call (Source: foundit),Merida Tech Minds Opc Private Limited <opportunities@monsterindia.com>,"Thu, 26 Oct 2023 07:43:18 +0000 (GMT)",,
Get Rs.55000 disbursed instantly,Kotak Fastrack Personal Loan 💰,"Thu, 26 Oct 2023 07:51:40 +0000 (UTC)",,
Explore career opportunities in Healthcare Tech: A $371B Industry,"""Coding Ninjas Job Bootcamp"" <hello@careercamp.codingninjas.com>","Thu, 26 Oct 2023 08:35:24 +0000",,
b'Rate Russell Tobin anonymously. Your opinion matters! \xe2\xad\x90',AmbitionBox <no-reply@ambitionbox.com>,"Thu, 26 Oct 2023 14:23:09 +0530 (IST)","

",
Sajin just messaged you,Sajin Mathew via LinkedIn <messaging-digest-noreply@linkedin.com>,"Thu, 26 Oct 2023 09:35:07 +0000 (UTC)",,
A roadmap to a fulfilling career,Antal International via LinkedIn <newsletters-noreply@linkedin.com>,"Thu, 26 Oct 2023 09:51:14 +0000 (UTC)",,
b'Here is the key \xf0\x9f\x94\x91 to your financial success Rohan Dapurkar! \xf0\x9f\x92\xb0',"""Guruji"" <mails@sales.clickastro.com>",26/10/2023 10:04,,
A recruiter at Propeltech has shown interest in your profile!,"""Jobs@Propeltech"" <noreply@dare2compete.news>","Thu, 26 Oct 2023 11:02:05 +0000",,
Great Indian Festival: Blockbuster Deals!,"""Amazon.in"" <store-news@amazon.in>","Thu, 26 Oct 2023 11:16:15 +0000",,
Top Matching Jobs from Leading IT/Tech Companies,"""hirist.com"" <info@hirist.com>","Thu, 26 Oct 2023 11:25:56 +0000",,
b'Biggest Discount Unlocked ',PharmEasy <PEducate@emailer.pharmeasy.in>,"Thu, 26 Oct 2023 11:26:11 +0000 (UTC)",,
Master the Art of Machine Learning: M.Tech in Data Science,PES University <alert@jobsalert.shine.com>,"Thu, 26 Oct 2023 17:08:59 +0530",,
"b'Rohan, new opportunities in Analystt.ai, FavTutor & more'",Internshala <student@internshala.com>,"Thu, 26 Oct 2023 11:41:32 +0000",,
b'\xf0\x9f\x91\x89\xf0\x9f\x8f\xbc',FutureSkills Prime <do-not-reply@mails.futureskillsprime.in>,"Thu, 26 Oct 2023 11:42:10 +0000 (UTC)",,
Job Guarantee course Program,Cuvette Tech <team@cuvette.tech>,"Thu, 26 Oct 2023 12:01:25 +0000",,
"b""\xf0\x9f\x8f\x8f Don't Let Your Skills Expire""","""Simplilearn"" <updates@simplilearnmailer.com>","Thu, 26 Oct 2023 12:02:13 +0000",,
"Rohan, Ringmaster has invited you to attend this placement course!",Internshala Trainings <jos@internshala.com>,"Thu, 26 Oct 2023 17:39:45 +0530",,
Urgent Hiring for Hr Executive at Hilton,Job For You <vacancy@job.shine.com>,"Thu, 26 Oct 2023 17:42:45 +0530",,
